PROJECT_ID,Initial_completion_date,final_completion_date,Delayed,Amount_of_Delay_(Quarters),Initial_ESTIMATED_COST,Final_Estimated_Budget,Budget_Overrun,percentage_of_overrun,CT_Commercial,CT_Industrial,CT_Infrastructure,CT_Institutional,CT_Residential,CST_Primarily_residential_Single_use,CST_Education,CST_Utilities,CST_Roads_Highways,CST_Oil_Gas,CST_Health,CST_Mixed_Use,CST_Recreation,CST_Office,CST_Others,REGION,Region_Mainland/Southwest,Region_Vancouver_Island/Coast,Region_Thompson-Okanagan,Region_Northeast,Region_others,MUNICIPALITY,Urban,Type_Owner_priv,Type_Owner_prov,Type_Owner_part,Project_Status_Construction_started,Project_Status_Proposed,Project_Status_On_hold,Project_Status_Completed,PUBLIC_FUNDING_IND,GREEN_BUILDING_IND,FIRST_NATION_IND,Times_Delayed,Age,Jobs,Below_Average_Winter_Temp_Quarters,Quarters_with_Above_Average_Snowfall,Quarters_with_Above_Average_Rain
514,2016-Q2,2016-Q3,1,1,60,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4. Kootenay,0,0,0,0,1,Radium,0,1,0,0,1,0,0,0,0,0,0,1,9.5,429,4,8,4
550,2026-Q4,2026-Q4,0,0,50,50,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1. Vancouver Island/Coast,0,1,0,0,0,Langford,0,1,0,0,0,1,0,0,0,0,0,0,11.5,143,2,4,4
552,2020-Q4,2020-Q4,0,0,788,765,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1. Vancouver Island/Coast,0,1,0,0,0,Victoria,1,0,1,0,0,1,0,0,1,0,0,0,0,652,4,4,3
557,2020-Q4,2020-Q4,0,0,1000,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3. Thompson-Okanagan,0,0,1,0,0,Revelstoke,0,1,0,0,1,0,0,0,0,0,0,0,12.5,4845,1,6,5
576,2030-Q4,2030-Q4,0,0,500,500,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3. Thompson-Okanagan,0,0,1,0,0,Vernon,0,1,0,0,1,0,0,0,0,0,0,0,20.5,1430,1,6,5
675,2019-Q1,2019-Q2,1,1,38,38,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1. Vancouver Island/Coast,0,1,0,0,0,Nanaimo,1,0,1,0,0,1,0,0,1,1,0,1,0,169,2,4,4
677,2016-Q2,2016-Q3,1,1,130,130,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1. Vancouver Island/Coast,0,1,0,0,0,Sooke,0,1,0,0,1,0,0,0,0,0,0,1,13.5,929,2,4,4
698,2017-Q4,2019-Q4,1,8,75,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3. Thompson-Okanagan,0,0,1,0,0,Osoyoos,0,1,0,0,1,0,0,0,0,0,1,2,19.5,536,1,6,5
748,2018-Q4,2019-Q4,1,4,500,500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2. Mainland/Southwest,1,0,0,0,0,Port Coquitlam,1,1,0,0,1,0,0,0,0,0,0,1,9.5,776,2,4,3
833,2020-Q4,2020-Q4,0,0,80,80,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2. Mainland/Southwest,1,0,0,0,0,Coquitlam,1,1,0,0,0,1,0,0,0,0,0,0,3.5,229,1,4,5
